"","SexRatio","ConsRateW","ConsRateS","avgPCF","sdPCF","mortJ1","mortJ2","mortA","remJ1","remJ2","remA","cssJ1","cssJ2","cssA","Pred","p","Crash","OutbreakCrash","Fbase","CCRatioThresh","RUNNOCOTS"
"1",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.9,0.2,0,Inf,0.2,25,TRUE
"2",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.91,0.2,0,Inf,0.2,25,FALSE
"3",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.92,0.2,0,Inf,0.2,25,FALSE
"4",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.93,0.2,0,Inf,0.2,25,FALSE
"5",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.94,0.2,0,Inf,0.2,25,FALSE
"6",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.95,0.2,0,Inf,0.2,25,FALSE
"7",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.96,0.2,0,Inf,0.2,25,FALSE
"8",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.97,0.2,0,Inf,0.2,25,FALSE
"9",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.98,0.2,0,Inf,0.2,25,FALSE
"10",5,150,250,2e+07,1e+07,0.98,0.9,0.8,0,0,1,0.9803,0.0171,0.0026,0.99,0.2,0,Inf,0.2,25,FALSE
