ReefID,ReefName,X_COORD,Y_COORD,Area_HA,PReef,OutbreakStaus,Paired,Pairing,Region,Zone,MgmtArea
21-045,Hull Reef (21-045),149.8839874,-21.46553802,33.99383163,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-046,Elamang Reef (21-046),149.6642914,-21.47134399,18.49192047,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-047,Still Reef (21-047),149.9247589,-21.47615433,7.51146603,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-048,Henderson Reef (21-048),149.9111481,-21.48144341,28.93870735,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-342,U/N Reef (20-342),150.9542847,-20.76789093,1699.593384,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-343,U/N Reef (20-343),150.9075165,-20.76881027,27.339674,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-344,U/N Reef (20-344),150.8964233,-20.78035736,412.5270081,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-345,U/N Reef (20-345),150.8141174,-20.79827118,56.54499817,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-349,U/N Reef (20-349),150.6231537,-20.90464211,78.3216095,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-444,U/N Reef (20-444),152.1759338,-20.92093468,585.3619385,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-445,U/N Reef (20-445),152.2117462,-20.91632843,28.34972572,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-446,U/N Reef (20-446),152.2227325,-20.92043114,13.07756901,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-447,U/N Reef (20-447),152.2289734,-20.94096184,130.2633362,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-448,U/N Reef (20-448),152.2345734,-20.92226219,9.37094402,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-449,U/N Reef (20-449),152.2462311,-20.92517471,14.1981802,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
20-450,U/N Reef (20-450),152.2584992,-20.93284798,121.8750382,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-049,Keelan Reef (21-049),149.9203949,-21.4895401,25.08352852,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
21-050,Noel Reef (21-050),149.8934937,-21.49390602,57.21750259,Not Actioned,No Data,NA,,,Habitat Protection,Mackay/Capricorn Management Area
